,t_split,classifierType,Scores
0,0.1,knn1,0.9898796498905909
1,0.1,knn2,0.986597374179431
2,0.1,knn3,0.9857768052516411
3,0.1,knn4,0.9805798687089715
4,0.1,ensemble,0.987554704595186
5,0.2,knn1,0.9970769230769231
6,0.2,knn2,0.9927692307692307
7,0.2,knn3,0.9930769230769231
8,0.2,knn4,0.9907692307692307
9,0.2,ensemble,0.9930769230769231
10,0.3,knn1,0.9977140847547037
11,0.3,knn2,0.9968348865834359
12,0.3,knn3,0.9964832073149288
13,0.3,knn4,0.9943731317038861
14,0.3,ensemble,0.9968348865834359
15,0.4,knn1,0.9977435897435898
16,0.4,knn2,0.9983589743589744
17,0.4,knn3,0.9971282051282051
18,0.4,knn4,0.9961025641025641
19,0.4,ensemble,0.9983589743589744
20,0.5,knn1,0.999015263417036
21,0.5,knn2,0.9992614475627769
22,0.5,knn3,0.999015263417036
23,0.5,knn4,0.9985228951255539
24,0.5,ensemble,0.999507631708518
25,0.6,knn1,0.9993846153846154
26,0.6,knn2,0.9993846153846154
27,0.6,knn3,0.9987692307692307
28,0.6,knn4,0.9990769230769231
29,0.6,ensemble,0.9993846153846154
30,0.7,knn1,0.9991796554552912
31,0.7,knn2,0.9995898277276456
32,0.7,knn3,0.9987694831829368
33,0.7,knn4,0.9991796554552912
34,0.7,ensemble,0.9995898277276456
35,0.8,knn1,0.9987692307692307
36,0.8,knn2,0.9993846153846154
37,0.8,knn3,0.9987692307692307
38,0.8,knn4,0.9993846153846154
39,0.8,ensemble,0.9993846153846154
40,0.9,knn1,1.0
41,0.9,knn2,1.0
42,0.9,knn3,1.0
43,0.9,knn4,1.0
44,0.9,ensemble,1.0
